Name,Language,IMDb Rating,Running Time,Year of Release,Viewer_age,Type
The Grudge 3 (2008),English,4.7,1 h 30 min,2009,18+,Movie
Roaring Currents,English,7.1,1 h 45 min,2014,18+,Movie
"Man Who Knew Too Little, The",English,None,1 h 33 min,1997,13+,Movie
K.G.F: Chapter 1 (Hindi),Hindi,8.2,2 h 34 min,2018,13+,Movie
Ek Unad Divas,Marathi,8.3,1 h 31 mins,2005,All,Movie
Yatra (Telugu),Telugu,8.2,2 h 5 min,2019,All,Movie
Sagaa,Tamil,5.9,1 h 59 min,2019,13+,Movie
Ishq Garaari,Punjabi,5.6,2 h 5 mins,2013,13+,Movie
Sangliyana,Kannada,None,1 h 54 min,1988,NR,Movie
Charlie and the Chocolate Factory,English,6.6,1 h 54 min,2005,All,Movie
Kalikkoottukar,Malayalam,3.5,2 h 24 min,2019,All,Movie
Dui Yoddha,Bengali,None,2 h 25 min,2006,NR,Movie
